攤位號	類型	角色/CP	內容	價格
カ20	新刊	円香	円香本	500
カ20	新刊	まどとお	まどとおコピ本	100
カ06	合本	ノクチル	相合学舎合本	800
カ14	新刊	まどひな	まどひな短編集MHS	500
カ14	新刊	まどひな	まどひな本「円香先輩雛菜のこと好きすぎ～」	500
オ09	既刊	透	委託既刊 透P本 透ちゃんは何か見つけたようです	500
カ05	新刊	まどひな	まどひな本	500
カ01	合本	透	透鴿合本	1000
カ01	周邊	透	透鴿立牌	1500
ウ44	周邊	あさひ	あさひ貼紙	300
カ45	周邊	ノクチル	ノクチル立牌	500
イ33	周邊	あさひ	小糸甜花あさひ貼紙	100
カ34	周邊	こいひな	こいひな秋デートアクスタ	1000
オ39	新刊	透	真乃、甘奈、透本	500
オ39	既刊	透	透既刊	500
